ID,V8,V9,V10,Q1,Q2_1,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q12_1_Group,Q12_2_Group,Q12_3_Group,Q12_4_Group,Q12_5_Group,Q12_6_Group,Q12_7_Group,Q12_8_Group,Q12_9_Group,Q12_10_Group,Q12_11_Group,Q12_12_Group,Q12_13_Group,Q12_14_Group,Q12_15_Group,Q12_23_Group,Q12_16_Group,Q12_17_Group,Q12_18_Group,Q12_19_Group,Q12_20_Group,Q12_21_Group,Q12_22_Group
538067,2011-05-16 14:00:16,2011-05-16 14:20:29,1,1,100,1,1,1,1,1,1,1,1,NA,NA,NA,0,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,0,0,NA,1,NA
374146,2011-05-16 14:09:29,2011-05-16 14:20:35,1,1,100,NA,1,1,1,NA,NA,NA,NA,1,2,0,1,1,1,2,1,2,1,1,2,1,2,0,1,1,0,1,0,2,0,2
646743,2011-05-16 14:12:33,2011-05-16 14:20:48,1,1,100,1,1,NA,NA,NA,1,NA,NA,2,0,0,0,2,2,2,2,1,2,2,1,1,2,0,1,2,2,0,0,0,0,0
1260048,2011-05-16 14:06:03,2011-05-16 14:21:05,1,1,100,1,1,1,NA,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2
1264271,2011-05-16 14:07:59,2011-05-16 14:21:13,1,1,100,1,1,NA,NA,NA,1,1,NA,1,1,0,1,2,2,2,2,1,2,2,2,2,2,0,1,2,0,0,0,1,2,2
727698,2011-05-16 14:11:30,2011-05-16 14:23:13,1,1,100,1,1,1,1,1,1,1,1,0,1,0,0,2,1,2,2,0,1,2,1,0,2,0,1,2,0,0,0,1,1,2
1284370,2011-05-16 14:16:18,2011-05-16 14:24:00,1,1,100,1,NA,1,NA,1,1,NA,NA,2,2,2,0,2,2,2,2,NA,NA,NA,NA,NA,NA,0,1,NA,2,0,0,NA,NA,NA
1283342,2011-05-16 14:05:39,2011-05-16 14:24:04,1,1,50,NA,1,NA,NA,1,1,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA
1217012,2011-05-16 14:14:13,2011-05-16 14:24:10,1,1,61,NA,NA,1,NA,1,1,NA,NA,2,2,1,1,2,2,1,2,2,1,2,1,1,2,1,1,0,1,1,1,2,1,1
643876,2011-05-16 14:10:38,2011-05-16 14:24:13,1,1,80,1,1,NA,NA,1,NA,NA,NA,0,2,1,1,0,0,0,2,0,0,2,2,1,0,0,2,0,2,0,0,2,1,1
1245354,2011-05-16 14:11:55,2011-05-16 14:24:14,1,1,100,1,1,NA,NA,NA,1,1,1,1,1,1,0,1,0,0,0,1,0,0,1,1,2,1,1,2,1,1,1,2,0,1
436197,2011-05-16 14:17:01,2011-05-16 14:24:51,1,1,100,1,NA,NA,1,1,NA,NA,NA,0,0,0,1,1,2,0,0,1,0,1,1,0,0,1,0,1,2,2,1,0,1,0
1244710,2011-05-16 14:13:17,2011-05-16 14:26:01,1,1,100,1,1,1,NA,1,1,NA,NA,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,0,1,1,1,2,1,2
179188,2011-05-16 14:15:11,2011-05-16 14:26:10,1,1,91,1,1,NA,NA,1,1,NA,NA,1,2,0,0,2,1,0,1,0,1,0,1,0,2,0,0,2,1,0,0,1,1,1
584662,2011-05-16 14:13:53,2011-05-16 14:26:21,1,1,100,NA,1,NA,NA,NA,1,1,NA,2,1,0,0,1,2,1,1,1,2,1,0,2,1,0,1,1,0,0,0,0,0,1
627369,2011-05-16 14:12:26,2011-05-16 14:26:36,1,1,92,1,1,1,NA,1,1,1,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,0,0,0,0,1,1,NA
1268512,2011-05-16 14:13:57,2011-05-16 14:26:41,1,1,91,NA,1,NA,NA,NA,1,NA,NA,1,2,0,1,2,1,2,2,1,2,1,1,2,2,1,0,2,1,1,0,2,1,2
1273151,2011-05-16 14:11:25,2011-05-16 14:26:41,1,1,20,NA,1,1,1,NA,1,NA,NA,2,1,1,0,1,0,1,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
990091,2011-05-16 14:14:06,2011-05-16 14:26:50,1,1,100,1,1,1,1,1,1,NA,NA,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
1278484,2011-05-16 14:18:22,2011-05-16 14:27:09,1,1,100,NA,1,1,NA,NA,NA,NA,NA,NA,0,2,0,NA,NA,NA,NA,1,NA,0,0,1,NA,1,1,NA,NA,NA,1,0,1,0
862130,2011-05-16 14:11:39,2011-05-16 14:27:22,1,1,100,1,1,1,NA,NA,1,1,1,1,2,2,0,1,2,1,2,1,2,2,2,2,2,1,2,1,2,0,0,2,0,2
1205442,2011-05-16 14:15:50,2011-05-16 14:27:35,1,1,100,1,1,1,NA,NA,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2
977569,2011-05-16 14:12:18,2011-05-16 14:27:48,1,1,80,1,1,1,1,NA,NA,NA,NA,2,0,0,1,1,2,1,1,0,2,0,2,1,2,1,0,1,1,0,0,0,1,0
1272670,2011-05-16 14:16:29,2011-05-16 14:28:01,1,1,98,NA,1,1,NA,NA,1,NA,NA,2,1,1,0,1,2,2,2,2,0,2,1,1,2,1,1,0,1,1,0,1,1,1
76379,2011-05-16 14:21:08,2011-05-16 14:29:40,1,1,97,1,NA,NA,NA,NA,1,1,NA,0,NA,0,NA,NA,NA,NA,NA,2,1,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA
272779,2011-05-16 14:21:07,2011-05-16 14:29:44,1,1,100,1,NA,1,NA,1,NA,1,NA,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,0,0,0,2,2,2
795043,2011-05-16 14:18:16,2011-05-16 14:29:49,1,1,100,1,1,1,1,NA,1,1,1,1,2,1,0,1,2,2,2,2,0,1,1,2,2,2,2,0,2,1,0,2,0,2
793338,2011-05-16 14:21:52,2011-05-16 14:30:09,1,1,100,1,1,1,NA,NA,1,1,NA,1,1,1,0,2,2,2,1,2,0,2,1,1,1,1,0,1,2,0,0,1,1,2
1124277,2011-05-16 14:04:03,2011-05-16 14:30:22,1,1,100,1,1,1,NA,NA,1,1,1,1,1,2,0,2,2,2,2,2,1,2,2,1,2,1,1,0,0,0,1,0,0,0
984509,2011-05-16 14:17:50,2011-05-16 14:30:39,1,1,100,1,1,1,1,1,1,1,1,0,2,1,1,1,2,0,2,1,0,2,1,2,1,2,1,0,1,1,0,2,1,2
